sample_id,study_id,timepoint,arm,Prevotella,Bifidobacterium,Lactobacillus,Clostridium,Faecalibacterium,Lachnospiraceae_unclassified,Ruminococcus,Dorea,Blautia,Roseburia,Eubacterium,Firmicutes_unclassified,Succinatimonas,Dialister,Coprococcus,Streptococcus,Escherichia,Collinsella,Bacteroides,Megasphaera
ST-30093-PW,PW:1342,32wk,Arm D,68.40109,2.36778,2.83289,0.49472,3.63896,4.10439,1.59187,1.70354,1.76753,1.43132,2.76569,0.06823,0.0,1.11857,1.04478,0.19473,0.12235,0.64221,0.13809,0.01341
ST-30094-PW,PW:1414,32wk,Arm D,38.07353,1.24382,0.35939,2.87305,3.17493,3.75429,2.70423,2.47331,2.85179,3.18281,0.95113,0.49243,2.13804,2.04551,0.45576,11.70945,4.57542,0.82262,0.17897,0.22475
ST-30095-PW,PW:1503,32wk,Arm C,8.38624,6.68174,0.30767,7.82799,4.20657,0.87156,2.91699,6.52386,4.52752,2.63756,1.88528,27.19272,0.0,0.06472,3.93258,0.01369,0.06129,0.27827,0.3413,0.0
ST-30096-PW,PW:1502,32wk,Arm D,56.81883,2.97411,2.12737,3.93773,2.49407,4.25479,0.21124,1.49468,1.50612,7.5694,1.5784,0.0,1.30527,1.84216,1.0598,2.48639,0.01893,0.41085,0.0,0.72482
ST-30097-PW,PW:1487,32wk,Arm B,41.77527,5.60361,0.07834,0.70801,8.77135,2.52139,2.2547,2.19001,2.71187,6.16912,1.97458,0.65595,11.47979,2.01618,3.57014,0.2292,0.0,0.93495,0.0,1.10328
ST-30098-PW,PW:1514,32wk,Arm B,15.00248,39.19987,10.91355,3.78896,2.55041,1.62845,4.82759,1.74379,1.20054,1.4401,0.68922,1.16362,0.02255,0.26279,0.79267,0.09926,0.14594,2.37832,0.10112,9.96514
ST-30099-PW,PW:1443,32wk,Arm B,2.47082,23.03924,3.9101,2.9828,7.64932,2.05473,9.13128,11.29968,7.48834,2.45776,4.07854,2.63019,0.0,5.21918,2.36291,0.48927,0.82982,1.36032,0.29384,0.34063
ST-30100-PW,PW:1409,32wk,Arm C,58.86584,8.13184,5.88136,1.08577,2.49748,4.62771,0.3867,2.44874,2.55242,1.09502,0.47316,0.04675,0.0,1.40712,0.98784,3.82703,0.0,0.9936,0.219,1.14058
ST-30101-PW,PW:1577,32wk,Arm D,0.68137,73.83686,10.31348,1.52892,0.11546,0.16098,1.38544,0.72969,0.17164,0.01342,0.87275,0.94134,0.0,0.87956,0.24983,0.11294,0.0,0.37473,0.0,4.33812
ST-30102-PW,PW:1511,32wk,Arm D,25.53912,18.74155,1.76927,3.24199,7.89495,0.58019,7.96521,2.31567,2.71243,1.89491,3.08211,1.73075,6.20094,0.00634,0.92431,1.02468,0.0,2.54959,0.38197,0.33913
ST-30103-PW,PW:1504,32wk,Arm D,39.29477,5.81767,2.24691,1.61288,1.47408,0.05119,3.78802,2.01824,4.01946,2.82926,1.46034,0.22551,0.0,1.78507,1.58103,6.19578,0.73008,0.60759,0.05795,0.35612
